	Tissue
GTEX-13SLX-0011-R5a-SM-5O9BV	Brain - Caudate (basal ganglia)
GTEX-NPJ7-0011-R6a-SM-2I3G7	Brain - Nucleus accumbens (basal ganglia)
GTEX-13G51-0011-R10b-SM-5LZYF	Brain - Frontal Cortex (BA9)
GTEX-13X6I-0011-R8a-SM-5PNZF	Brain - Hypothalamus
GTEX-1HR98-0011-R1a-SM-ARZLQ	Brain - Hippocampus
GTEX-1445S-0011-R2b-SM-5PNUH	Brain - Substantia nigra
GTEX-147GR-0011-R4a-SM-5S2V2	Brain - Amygdala
GTEX-1E1VI-0011-R4b-SM-9QEHV	Brain - Amygdala
GTEX-12ZZX-0011-R2a-SM-5EGLG	Brain - Substantia nigra
GTEX-1GMR8-0011-R3b-SM-9QEIG	Brain - Anterior cingulate cortex (BA24)
GTEX-17EVP-0011-R11a-SM-7EWDL	Brain - Cerebellar Hemisphere
GTEX-PWO3-0011-R9A-SM-EVR2V	Brain - Spinal cord (cervical c-1)
GTEX-WZTO-0011-R4A-SM-3NMC7	Brain - Amygdala
GTEX-16XZZ-0011-R1a-SM-7LTAH	Brain - Hippocampus
GTEX-11DXW-0011-R5b-SM-DO11D	Brain - Caudate (basal ganglia)
GTEX-139TT-0011-R3b-SM-5K7VL	Brain - Anterior cingulate cortex (BA24)
GTEX-QDT8-0011-R11A-SM-32PKD	Brain - Cerebellar Hemisphere
GTEX-1GZ2Q-0011-R7b-SM-9OSWN	Brain - Putamen (basal ganglia)
GTEX-12WSD-0011-R9a-SM-5GU6W	Brain - Spinal cord (cervical c-1)
GTEX-1EWIQ-3026-SM-7IGOJ	Brain - Cerebellum
GTEX-1I1CD-3026-SM-B2LY2	Brain - Cortex
GTEX-1H1DG-0011-R2a-SM-ADEIQ	Brain - Substantia nigra
GTEX-N7MT-0011-R1a-SM-CNPO1	Brain - Hippocampus
GTEX-1IDJH-3026-SM-CL53B	Brain - Cortex
GTEX-ZXG5-0011-R10a-SM-57WDD	Brain - Frontal Cortex (BA9)
GTEX-RU72-0011-R11A-SM-CM2U1	Brain - Cerebellar Hemisphere
GTEX-144GL-0011-R4a-SM-5PNUI	Brain - Amygdala
GTEX-1GZ4I-0011-R11b-SM-9OSWR	Brain - Cerebellar Hemisphere
GTEX-X585-0011-R6A-SM-46MVJ	Brain - Nucleus accumbens (basal ganglia)
GTEX-ZVZQ-0011-R4b-SM-57WCZ	Brain - Amygdala
GTEX-13OVL-0011-R6a-SM-5L3G4	Brain - Nucleus accumbens (basal ganglia)
GTEX-11NUK-0011-R7a-SM-DO93P	Brain - Putamen (basal ganglia)
GTEX-1GF9W-0011-R6b-SM-9QEIE	Brain - Nucleus accumbens (basal ganglia)
GTEX-12WSC-3026-SM-5GCNF	Brain - Cortex
GTEX-1A8G7-3026-SM-73KTT	Brain - Cerebellum
GTEX-13X6J-0011-R6a-SM-5PNUB	Brain - Nucleus accumbens (basal ganglia)
GTEX-15ER7-0011-R3a-SM-6LPIK	Brain - Anterior cingulate cortex (BA24)
GTEX-1E2YA-0011-R8a-SM-CKZNG	Brain - Hypothalamus
GTEX-14PJO-0011-R7a-SM-664NR	Brain - Putamen (basal ganglia)
GTEX-13NZ8-0011-R8b-SM-5KM48	Brain - Hypothalamus
GTEX-X4EP-3026-SM-3P5YP	Brain - Cerebellum
GTEX-1R9K4-0011-R11a-SM-EZ6N9	Brain - Cerebellar Hemisphere
GTEX-ZF28-0011-R7a-SM-4WKF5	Brain - Putamen (basal ganglia)
GTEX-1H2FU-0011-R9b-SM-CE6S4	Brain - Spinal cord (cervical c-1)
GTEX-1F6IF-0011-R8a-SM-9OSX5	Brain - Hypothalamus
GTEX-1445S-0011-R7b-SM-5PNUG	Brain - Putamen (basal ganglia)
GTEX-13FLW-0011-R1b-SM-5LZX2	Brain - Hippocampus
GTEX-1GTWX-0011-R7a-SM-A96RO	Brain - Putamen (basal ganglia)
GTEX-NPJ8-0011-R11A-SM-2YUMS	Brain - Cerebellar Hemisphere
GTEX-QVJO-0011-R5A-SM-2S1QM	Brain - Caudate (basal ganglia)
GTEX-14PN4-0011-R4a-SM-686ZT	Brain - Amygdala
GTEX-Y8DK-0011-R1A-SM-4RGLO	Brain - Hippocampus
GTEX-WL46-0011-R10A-SM-3MJFQ	Brain - Frontal Cortex (BA9)
GTEX-14BIM-0011-R5b-SM-5S2RM	Brain - Caudate (basal ganglia)
GTEX-15DDE-0011-R10a-SM-7KUKW	Brain - Frontal Cortex (BA9)
GTEX-12ZZY-3026-SM-5GCOU	Brain - Cortex
GTEX-1B8SG-0011-R2b-SM-79OOT	Brain - Substantia nigra
GTEX-12WSF-0011-R10a-SM-5LZVH	Brain - Frontal Cortex (BA9)
GTEX-1C6VS-0011-R5a-SM-7MXU9	Brain - Caudate (basal ganglia)
GTEX-1HSKV-2926-SM-B2LWJ	Brain - Cerebellum
GTEX-ZAB4-0011-R7a-SM-4SOKE	Brain - Putamen (basal ganglia)
GTEX-1GMR8-0011-R8a-SM-CKZNX	Brain - Hypothalamus
GTEX-13N2G-0011-R4b-SM-5MR54	Brain - Amygdala
GTEX-1IKJJ-0011-R9a-SM-ARZLI	Brain - Spinal cord (cervical c-1)
GTEX-1399T-0011-R8b-SM-5IJD8	Brain - Hypothalamus
GTEX-YFC4-0011-R4a-SM-4RGLQ	Brain - Amygdala
GTEX-T5JC-2426-SM-3NMDB	Brain - Cortex
GTEX-11WQK-0011-R8a-SM-5BC7C	Brain - Hypothalamus
GTEX-1F75A-0011-R3b-SM-ARL8K	Brain - Anterior cingulate cortex (BA24)
GTEX-13FLW-0011-R5a-SM-5LZX6	Brain - Caudate (basal ganglia)
GTEX-145MG-3126-SM-5Q5D3	Brain - Cerebellum
GTEX-1H3VE-0011-R5a-SM-CKZOU	Brain - Caudate (basal ganglia)
GTEX-1CB4G-0011-R7b-SM-9QEGP	Brain - Putamen (basal ganglia)
GTEX-11EI6-0011-R10a-SM-DO93R	Brain - Frontal Cortex (BA9)
GTEX-1313W-3026-SM-5LZUZ	Brain - Cerebellum
GTEX-13IVO-2926-SM-5L3CZ	Brain - Cortex
GTEX-OHPN-0011-R8A-SM-33HBT	Brain - Hypothalamus
GTEX-Z93S-0011-R2a-SM-4RGNG	Brain - Substantia nigra
GTEX-QDT8-0011-R9A-SM-CYPRD	Brain - Spinal cord (cervical c-1)
GTEX-12WSH-0011-R11a-SM-5LZVM	Brain - Cerebellar Hemisphere
GTEX-13FTY-0011-R11a-SM-5IJEA	Brain - Cerebellar Hemisphere
GTEX-ZYY3-3126-SM-5SI9L	Brain - Cortex
GTEX-12WSH-0011-R10a-SM-5LZUS	Brain - Frontal Cortex (BA9)
GTEX-131XH-0011-R3b-SM-5DUWM	Brain - Anterior cingulate cortex (BA24)
GTEX-12WSM-0011-R6b-SM-5EQ6N	Brain - Nucleus accumbens (basal ganglia)
GTEX-16Z82-2926-SM-6LPJJ	Brain - Cerebellum
GTEX-1CAV2-2726-SM-7IGNN	Brain - Cortex
GTEX-1GZHY-0011-R11a-SM-C1YRQ	Brain - Cerebellar Hemisphere
GTEX-1AX9I-3026-SM-73KUH	Brain - Cortex
GTEX-14C5O-0011-R10a-SM-6872F	Brain - Frontal Cortex (BA9)
GTEX-13JUV-0011-R9a-SM-5LZX3	Brain - Spinal cord (cervical c-1)
GTEX-11O72-2926-SM-5BC4V	Brain - Cortex
GTEX-1F52S-0011-R5a-SM-CJI22	Brain - Caudate (basal ganglia)
GTEX-T6MN-0011-R7A-SM-32QP5	Brain - Putamen (basal ganglia)
GTEX-1IDJH-3126-SM-C1YQS	Brain - Cerebellum
GTEX-1RLM8-0011-R6a-SM-EYYXS	Brain - Nucleus accumbens (basal ganglia)
GTEX-11PRG-0011-R7a-SM-DNZZT	Brain - Putamen (basal ganglia)
GTEX-1F75A-0011-R6b-SM-9QEHD	Brain - Nucleus accumbens (basal ganglia)
GTEX-1IL2V-0011-R11a-SM-ARU6T	Brain - Cerebellar Hemisphere
GTEX-1JJEA-0011-R6a-SM-EXUS1	Brain - Nucleus accumbens (basal ganglia)
GTEX-NPJ7-0011-R2a-SM-2I3GF	Brain - Substantia nigra
GTEX-17F97-0011-R10b-SM-793BB	Brain - Frontal Cortex (BA9)
GTEX-Y8DK-0011-R7A-SM-4SOJZ	Brain - Putamen (basal ganglia)
GTEX-1RLM8-0011-R2a-SM-EZ6N4	Brain - Substantia nigra
GTEX-1H1ZS-0011-R7a-SM-CL54P	Brain - Putamen (basal ganglia)
GTEX-12WSC-0011-R6b-SM-5LU99	Brain - Nucleus accumbens (basal ganglia)
GTEX-1399T-0011-R5b-SM-5IJDK	Brain - Caudate (basal ganglia)
GTEX-1HT8W-0011-R2a-SM-CMKH9	Brain - Substantia nigra
GTEX-139TS-3126-SM-5LZWX	Brain - Cerebellum
GTEX-1HB9E-0011-R6b-SM-A9G1P	Brain - Nucleus accumbens (basal ganglia)
GTEX-WZTO-0011-R5B-SM-3NMC5	Brain - Caudate (basal ganglia)
GTEX-1HFI6-0011-R5a-SM-A9G1J	Brain - Caudate (basal ganglia)
GTEX-1LKK1-0011-R11a-SM-EXOIG	Brain - Cerebellar Hemisphere
GTEX-12WSC-0011-R11a-SM-5GU5J	Brain - Cerebellar Hemisphere
GTEX-12ZZX-0011-R6a-SM-5HL8L	Brain - Nucleus accumbens (basal ganglia)
GTEX-1R46S-3126-SM-DPRZ9	Brain - Cerebellum
GTEX-NL4W-0011-R9a-SM-2I3G1	Brain - Spinal cord (cervical c-1)
GTEX-WZTO-0011-R10B-SM-4E3KB	Brain - Frontal Cortex (BA9)
GTEX-12WSM-0011-R1a-SM-5LZW6	Brain - Hippocampus
GTEX-1I1GV-0011-R10a-SM-CE6S6	Brain - Frontal Cortex (BA9)
GTEX-13O3Q-0011-R1b-SM-5KM3L	Brain - Hippocampus
GTEX-YFC4-0011-R7b-SM-4V6E2	Brain - Putamen (basal ganglia)
GTEX-1QP6S-2926-SM-DTXF8	Brain - Cortex
GTEX-P44H-0011-R3A-SM-D3L8E	Brain - Anterior cingulate cortex (BA24)
GTEX-1IY9M-0011-R2a-SM-D4P29	Brain - Substantia nigra
GTEX-13OW5-0011-R5b-SM-5L3FR	Brain - Caudate (basal ganglia)
GTEX-1C64N-0011-R8b-SM-7MGXE	Brain - Hypothalamus
GTEX-13X6J-0011-R7b-SM-5PNUC	Brain - Putamen (basal ganglia)
GTEX-145LU-0011-R9b-SM-5SI66	Brain - Spinal cord (cervical c-1)
GTEX-13CIG-0011-R5b-SM-5L3F2	Brain - Caudate (basal ganglia)
GTEX-14ASI-0011-R4a-SM-69LQ4	Brain - Amygdala
GTEX-1A8G7-0011-R8a-SM-7P8S6	Brain - Hypothalamus
GTEX-Q2AG-0011-R7A-SM-2HMJP	Brain - Putamen (basal ganglia)
GTEX-1445S-0011-R3a-SM-5P9HY	Brain - Anterior cingulate cortex (BA24)
GTEX-13OW8-2926-SM-5L3FV	Brain - Cerebellum
GTEX-17EVQ-0011-R11a-SM-7LT9C	Brain - Cerebellar Hemisphere
GTEX-QVJO-0011-R10A-SM-2S1QJ	Brain - Frontal Cortex (BA9)
GTEX-13CIG-0011-R8b-SM-5LZX5	Brain - Hypothalamus
GTEX-1CAMQ-0011-R8a-SM-ARU85	Brain - Hypothalamus
GTEX-11WQC-0011-R3a-SM-DO11T	Brain - Anterior cingulate cortex (BA24)
GTEX-1N2DW-0011-R4b-SM-EZ6MD	Brain - Amygdala
GTEX-S7SE-0011-R10A-SM-2XCDF	Brain - Frontal Cortex (BA9)
GTEX-11EI6-3026-SM-5GZZO	Brain - Cortex
GTEX-13112-2926-SM-5DUWT	Brain - Cerebellum
GTEX-139TU-0011-R5b-SM-5L3E1	Brain - Caudate (basal ganglia)
GTEX-1IY9M-0011-R11b-SM-A96TI	Brain - Cerebellar Hemisphere
GTEX-T6MN-0011-R4A-SM-32QPG	Brain - Amygdala
GTEX-13S7M-0011-R3a-SM-5PNX2	Brain - Anterior cingulate cortex (BA24)
GTEX-14BIN-0011-R2a-SM-5S2RJ	Brain - Substantia nigra
GTEX-1R9PO-2926-SM-EVYBR	Brain - Cortex
GTEX-13QIC-0011-R4a-SM-5PNX8	Brain - Amygdala
GTEX-13O3O-0011-R3b-SM-5KM3R	Brain - Anterior cingulate cortex (BA24)
GTEX-1C6WA-0011-R6a-SM-7PBYP	Brain - Nucleus accumbens (basal ganglia)
GTEX-1B8SF-0011-R7b-SM-9OSVM	Brain - Putamen (basal ganglia)
GTEX-1IDFM-2826-SM-ACKWJ	Brain - Cortex
GTEX-1AX9I-0011-R6a-SM-7P8PK	Brain - Nucleus accumbens (basal ganglia)
GTEX-1IKJJ-0011-R3b-SM-C1YRW	Brain - Anterior cingulate cortex (BA24)
GTEX-QDT8-0011-R6A-SM-32PKI	Brain - Nucleus accumbens (basal ganglia)
GTEX-18465-0011-R6a-SM-7LG6M	Brain - Nucleus accumbens (basal ganglia)
GTEX-1H23P-0011-R2a-SM-CKZP3	Brain - Substantia nigra
GTEX-1I1GS-0011-R9b-SM-CMKHF	Brain - Spinal cord (cervical c-1)
GTEX-1J1OQ-0011-R10a-SM-A9G1Y	Brain - Frontal Cortex (BA9)
GTEX-15DDE-0011-R4b-SM-7KULI	Brain - Amygdala
GTEX-11EI6-0011-R11a-SM-DO11V	Brain - Cerebellar Hemisphere
GTEX-NPJ7-0011-R4a-SM-2I3GJ	Brain - Amygdala
GTEX-N7MT-1226-SM-DKPOK	Brain - Cerebellum
GTEX-1B933-3026-SM-731DB	Brain - Cerebellum
GTEX-P44H-0011-R8A-SM-2XCEL	Brain - Hypothalamus
GTEX-17EVP-0011-R8b-SM-7DUF9	Brain - Hypothalamus
GTEX-11ZTS-0011-R3a-SM-5BC78	Brain - Anterior cingulate cortex (BA24)
GTEX-13G51-0011-R8b-SM-5LZZ4	Brain - Hypothalamus
GTEX-14ABY-0011-R11a-SM-5SI7C	Brain - Cerebellar Hemisphere
GTEX-ZVT3-0011-R7a-SM-57WCO	Brain - Putamen (basal ganglia)
GTEX-1C6VS-0011-R9b-SM-9WG5W	Brain - Spinal cord (cervical c-1)
GTEX-14JIY-0011-R8a-SM-6AJAP	Brain - Hypothalamus
GTEX-Z93S-0011-R6b-SM-4RGNJ	Brain - Nucleus accumbens (basal ganglia)
GTEX-ZUA1-3026-SM-59HJC	Brain - Cortex
GTEX-15SHU-3026-SM-6LPIB	Brain - Cerebellum
GTEX-13OW6-2926-SM-5KM29	Brain - Cerebellum
GTEX-1PPGY-3126-SM-EXUSR	Brain - Cortex
GTEX-1JMQK-2926-SM-D4P2T	Brain - Cerebellum
GTEX-1B8SF-0011-R10b-SM-7P8SW	Brain - Frontal Cortex (BA9)
GTEX-1F75W-0011-R5b-SM-9QEGV	Brain - Caudate (basal ganglia)
GTEX-11EMC-0011-R11b-SM-DNZZK	Brain - Cerebellar Hemisphere
GTEX-1C6WA-0011-R4a-SM-9QEH2	Brain - Amygdala
GTEX-OHPN-0011-R10A-SM-33HBU	Brain - Frontal Cortex (BA9)
GTEX-1NV8Z-3126-SM-E76R3	Brain - Cortex
GTEX-RNOR-0011-R5A-SM-2TF4J	Brain - Caudate (basal ganglia)
GTEX-NPJ7-0011-R1a-SM-3GACT	Brain - Hippocampus
GTEX-13PVQ-3026-SM-5SI93	Brain - Cortex
GTEX-13FHO-0011-R7b-SM-5LZXD	Brain - Putamen (basal ganglia)
GTEX-1F6IF-0011-R4b-SM-CKZNJ	Brain - Amygdala
GTEX-1PIIG-2726-SM-E76PQ	Brain - Cortex
GTEX-N7MS-0011-R6a-SM-2HMJ4	Brain - Nucleus accumbens (basal ganglia)
GTEX-1C6VR-0011-R1a-SM-7MXUE	Brain - Hippocampus
GTEX-1HB9E-0011-R3a-SM-ARL7D	Brain - Anterior cingulate cortex (BA24)
GTEX-N7MT-0011-R4a-SM-2I3G9	Brain - Amygdala
GTEX-OHPN-0011-R7A-SM-2I5FI	Brain - Putamen (basal ganglia)
GTEX-1H4P4-0011-R1b-SM-CL54V	Brain - Hippocampus
GTEX-1HR98-0011-R9b-SM-ARL79	Brain - Spinal cord (cervical c-1)
GTEX-147F4-0011-R6b-SM-5S2UP	Brain - Nucleus accumbens (basal ganglia)
GTEX-1I1GV-0011-R5b-SM-CKZPD	Brain - Caudate (basal ganglia)
GTEX-13NZ8-0011-R1b-SM-5KM3V	Brain - Hippocampus
GTEX-11ZUS-2926-SM-5FQSL	Brain - Cortex
GTEX-13NZA-0011-R1b-SM-5LUAF	Brain - Hippocampus
GTEX-13OW8-0011-R7a-SM-5L3FP	Brain - Putamen (basal ganglia)
GTEX-14E7W-0011-R3b-SM-5YYB5	Brain - Anterior cingulate cortex (BA24)
GTEX-1EX96-0011-R4a-SM-ARU82	Brain - Amygdala
GTEX-13OW5-0011-R11b-SM-5L3GG	Brain - Cerebellar Hemisphere
GTEX-1F88E-2826-SM-7RHHE	Brain - Cortex
GTEX-1H1ZS-0011-R8b-SM-A9SKA	Brain - Hypothalamus
GTEX-UTHO-0011-R5A-SM-3GIJD	Brain - Caudate (basal ganglia)
GTEX-1HB9E-0011-R7b-SM-A9G1Q	Brain - Putamen (basal ganglia)
GTEX-12ZZZ-3026-SM-5BC67	Brain - Cortex
GTEX-18A6Q-0011-R10b-SM-72D7A	Brain - Frontal Cortex (BA9)
GTEX-14PJM-3026-SM-6LLHM	Brain - Cerebellum
GTEX-1F75A-0011-R7b-SM-9QEHE	Brain - Putamen (basal ganglia)
GTEX-WL46-2926-SM-3LK82	Brain - Cortex
GTEX-11ZTS-0011-R11a-SM-DO113	Brain - Cerebellar Hemisphere
GTEX-144GL-0011-R5b-SM-5PNUJ	Brain - Caudate (basal ganglia)
GTEX-YFC4-0011-R10a-SM-4SOK5	Brain - Frontal Cortex (BA9)
GTEX-1F48J-0011-R6a-SM-CJI2F	Brain - Nucleus accumbens (basal ganglia)
GTEX-1HFI6-0011-R11b-SM-A96RU	Brain - Cerebellar Hemisphere
GTEX-13FLV-0011-R10b-SM-5LZZ2	Brain - Frontal Cortex (BA9)
GTEX-1GZ4I-3026-SM-9KNTX	Brain - Cortex
GTEX-132Q8-0011-R8b-SM-5DUWX	Brain - Hypothalamus
GTEX-12WSE-0011-R1b-SM-5GU4V	Brain - Hippocampus
GTEX-1RNSC-3126-SM-EVR4V	Brain - Cerebellum
GTEX-1F6I4-0011-R8a-SM-9QEIA	Brain - Hypothalamus
GTEX-QVJO-0011-R1A-SM-2S1QI	Brain - Hippocampus
GTEX-P44G-2526-SM-2I5EK	Brain - Cerebellum
GTEX-1GMRU-0011-R6b-SM-A9G3B	Brain - Nucleus accumbens (basal ganglia)
GTEX-1EN7A-3026-SM-7PBYT	Brain - Cortex
GTEX-144GL-0011-R3a-SM-5P9HP	Brain - Anterior cingulate cortex (BA24)
GTEX-11WQC-0011-R2a-SM-DO927	Brain - Substantia nigra
GTEX-14A5I-2826-SM-5SIBF	Brain - Cerebellum
GTEX-1F75B-0011-R6a-SM-ARZMI	Brain - Nucleus accumbens (basal ganglia)
GTEX-132Q8-0011-R10b-SM-5DUWZ	Brain - Frontal Cortex (BA9)
GTEX-1LVA9-0011-R6a-SM-EYYWH	Brain - Nucleus accumbens (basal ganglia)
GTEX-1GTWX-2926-SM-7MXV4	Brain - Cerebellum
GTEX-14BIM-0011-R6b-SM-5S2VB	Brain - Nucleus accumbens (basal ganglia)
GTEX-13FHO-0011-R1b-SM-5KLZG	Brain - Hippocampus
GTEX-1H3O1-0011-R6b-SM-CL54U	Brain - Nucleus accumbens (basal ganglia)
GTEX-T2IS-0011-R11A-SM-32QPC	Brain - Cerebellar Hemisphere
GTEX-145LS-0011-R8b-SM-5PNXA	Brain - Hypothalamus
GTEX-1F75W-0011-R11b-SM-AHZ34	Brain - Cerebellar Hemisphere
GTEX-1I1HK-0011-R5b-SM-ARU6S	Brain - Caudate (basal ganglia)
GTEX-14PJM-0011-R3b-SM-5ZZV9	Brain - Anterior cingulate cortex (BA24)
GTEX-14ASI-0011-R7b-SM-5YY9G	Brain - Putamen (basal ganglia)
GTEX-13O3Q-0011-R11b-SM-5KM2W	Brain - Cerebellar Hemisphere
GTEX-1H1ZS-0011-R10b-SM-A9SK9	Brain - Frontal Cortex (BA9)
GTEX-N7MS-0011-R4a-SM-2HMKW	Brain - Amygdala
GTEX-T6MN-2526-SM-32PMN	Brain - Cerebellum
GTEX-145MH-0011-R11a-SM-5P9HQ	Brain - Cerebellar Hemisphere
GTEX-X4EP-0011-R6A-SM-3P629	Brain - Nucleus accumbens (basal ganglia)
GTEX-14C5O-0011-R6a-SM-5YYB6	Brain - Nucleus accumbens (basal ganglia)
GTEX-13N1W-0011-R5b-SM-5MR5Q	Brain - Caudate (basal ganglia)
GTEX-QMR6-0011-R1A-SM-32PKW	Brain - Hippocampus
GTEX-13S7M-0011-R6b-SM-5O9D8	Brain - Nucleus accumbens (basal ganglia)
GTEX-T5JC-0011-R9A-SM-32PLV	Brain - Spinal cord (cervical c-1)
GTEX-PVOW-0011-R10A-SM-EXOHB	Brain - Frontal Cortex (BA9)
GTEX-145MF-2826-SM-7EPGU	Brain - Cerebellum
GTEX-12ZZX-0011-R8a-SM-5DUW8	Brain - Hypothalamus
GTEX-1H3NZ-0011-R8a-SM-CKZP6	Brain - Hypothalamus
GTEX-1GN2E-0011-R7b-SM-9QEIJ	Brain - Putamen (basal ganglia)
GTEX-13NYB-0011-R1b-SM-5KM4F	Brain - Hippocampus
GTEX-1OJC4-0011-R7a-SM-EYYX4	Brain - Putamen (basal ganglia)
GTEX-ZAB4-0011-R4a-SM-4SOKB	Brain - Amygdala
GTEX-1445S-0011-R6b-SM-5PNUF	Brain - Nucleus accumbens (basal ganglia)
GTEX-1EKGG-0011-R11a-SM-9QEHZ	Brain - Cerebellar Hemisphere
GTEX-ZAB4-0011-R6a-SM-4SOKD	Brain - Nucleus accumbens (basal ganglia)
GTEX-17EVP-0011-R7a-SM-7LTAN	Brain - Putamen (basal ganglia)
GTEX-13RTJ-0011-R11a-SM-5O9CK	Brain - Cerebellar Hemisphere
GTEX-1F6I4-0011-R5b-SM-9QEHA	Brain - Caudate (basal ganglia)
GTEX-YJ89-0011-R1a-SM-4RGLS	Brain - Hippocampus
GTEX-ZF28-0011-R11a-SM-4WWEI	Brain - Cerebellar Hemisphere
GTEX-11GSO-0011-R3b-SM-57WB2	Brain - Anterior cingulate cortex (BA24)
GTEX-1R46S-0011-R6a-SM-EZ6N6	Brain - Nucleus accumbens (basal ganglia)
GTEX-13NYS-0011-R5a-SM-5MR4D	Brain - Caudate (basal ganglia)
GTEX-P44H-0011-R10A-SM-2XCEK	Brain - Frontal Cortex (BA9)
GTEX-145MF-2726-SM-5O995	Brain - Cortex
GTEX-17MF6-0011-R6b-SM-7LG6G	Brain - Nucleus accumbens (basal ganglia)
GTEX-1GN73-0011-R7a-SM-CJI2U	Brain - Putamen (basal ganglia)
GTEX-1E1VI-0011-R8b-SM-ARU8E	Brain - Hypothalamus
GTEX-QMR6-0011-R10A-SM-32PKO	Brain - Frontal Cortex (BA9)
GTEX-13JUV-0011-R11a-SM-5LZYH	Brain - Cerebellar Hemisphere
GTEX-11DXY-0011-R6a-SM-DNZZF	Brain - Nucleus accumbens (basal ganglia)
GTEX-14BMV-0011-R3a-SM-5ZZU7	Brain - Anterior cingulate cortex (BA24)
GTEX-1H1DF-0011-R9b-SM-CM2RN	Brain - Spinal cord (cervical c-1)
GTEX-1CB4H-0011-R6b-SM-CKZNK	Brain - Nucleus accumbens (basal ganglia)
GTEX-1CB4G-0011-R5a-SM-CKZNM	Brain - Caudate (basal ganglia)
GTEX-S7SE-0011-R1A-SM-2XCDE	Brain - Hippocampus
GTEX-1GZ2Q-3026-SM-9JGG3	Brain - Cerebellum
GTEX-1B996-0011-R1b-SM-7P8PO	Brain - Hippocampus
GTEX-13CF2-0011-R8b-SM-5IJCX	Brain - Hypothalamus
GTEX-12WSD-0011-R6b-SM-5P9JU	Brain - Nucleus accumbens (basal ganglia)
GTEX-ZUA1-0011-R8b-SM-51MST	Brain - Hypothalamus
GTEX-1F6I4-0011-R3a-SM-9QEH9	Brain - Anterior cingulate cortex (BA24)
GTEX-1F75W-0011-R6a-SM-9QEI5	Brain - Nucleus accumbens (basal ganglia)
GTEX-1399T-3126-SM-5IJFS	Brain - Cerebellum
GTEX-NL3H-0011-R3a-SM-2I3GL	Brain - Anterior cingulate cortex (BA24)
GTEX-13FXS-0011-R11a-SM-5L3DM	Brain - Cerebellar Hemisphere
GTEX-Y8DK-0011-R8B-SM-EYYVQ	Brain - Hypothalamus
GTEX-ZUA1-0011-R11b-SM-51MTI	Brain - Cerebellar Hemisphere
GTEX-1H23P-0011-R8b-SM-A9G1G	Brain - Hypothalamus
GTEX-1LVAO-0011-R3a-SM-EXOI7	Brain - Anterior cingulate cortex (BA24)
GTEX-T6MN-0011-R1A-SM-32QOY	Brain - Hippocampus
GTEX-17EVP-0011-R5b-SM-7DHKW	Brain - Caudate (basal ganglia)
GTEX-12WSF-0011-R3a-SM-5DUW7	Brain - Anterior cingulate cortex (BA24)
GTEX-15DCD-0011-R11a-SM-D4P1R	Brain - Cerebellar Hemisphere
GTEX-13JVG-0011-R8a-SM-5KM3E	Brain - Hypothalamus
GTEX-11OF3-0011-R7a-SM-57WCG	Brain - Putamen (basal ganglia)
GTEX-1GZHY-0011-R9a-SM-9WG5R	Brain - Spinal cord (cervical c-1)
GTEX-11EMC-0011-R9b-SM-DO921	Brain - Spinal cord (cervical c-1)
GTEX-1HSKV-0011-R1b-SM-CMKH7	Brain - Hippocampus
GTEX-1BAJH-3126-SM-7MGXY	Brain - Cerebellum
GTEX-1J8Q2-0011-R6a-SM-CKZPG	Brain - Nucleus accumbens (basal ganglia)
GTEX-12ZZZ-0011-R5a-SM-5EQ4M	Brain - Caudate (basal ganglia)
GTEX-1HBPI-0011-R9b-SM-ARL76	Brain - Spinal cord (cervical c-1)
GTEX-1GZHY-3126-SM-9QEHH	Brain - Cortex
GTEX-Q2AG-0011-R11A-SM-2HMKZ	Brain - Cerebellar Hemisphere
GTEX-1I1GV-0011-R7a-SM-ARU6R	Brain - Putamen (basal ganglia)
GTEX-1GN73-0011-R9a-SM-CKZO5	Brain - Spinal cord (cervical c-1)
GTEX-1HBPH-0011-R5b-SM-A9G1R	Brain - Caudate (basal ganglia)
GTEX-1B996-0011-R8b-SM-79OOS	Brain - Hypothalamus
GTEX-14BMV-0011-R6b-SM-5YY9I	Brain - Nucleus accumbens (basal ganglia)
GTEX-13O1R-0011-R9b-SM-5KM33	Brain - Spinal cord (cervical c-1)
GTEX-Z93S-0011-R11a-SM-4RGNN	Brain - Cerebellar Hemisphere
GTEX-11PRG-0011-R6b-SM-DO923	Brain - Nucleus accumbens (basal ganglia)
GTEX-13G51-0011-R5a-SM-5L3EB	Brain - Caudate (basal ganglia)
GTEX-11NUK-0011-R5a-SM-DO93N	Brain - Caudate (basal ganglia)
GTEX-1H3VE-0011-R6b-SM-A9G1M	Brain - Nucleus accumbens (basal ganglia)
GTEX-145LS-0011-R1b-SM-5PNUP	Brain - Hippocampus
GTEX-145MG-0011-R7b-SM-5P9JY	Brain - Putamen (basal ganglia)
GTEX-1IKK5-0011-R11a-SM-C1YRX	Brain - Cerebellar Hemisphere
GTEX-1IKJJ-0011-R2b-SM-ARZLJ	Brain - Substantia nigra
GTEX-18465-0011-R7b-SM-7LG6V	Brain - Putamen (basal ganglia)
GTEX-1313W-0011-R10b-SM-5DUXA	Brain - Frontal Cortex (BA9)
GTEX-1HCVE-0011-R7b-SM-A9G1I	Brain - Putamen (basal ganglia)
GTEX-131YS-0011-R4a-SM-5DUVL	Brain - Amygdala
GTEX-1HR98-0011-R5a-SM-A9G1V	Brain - Caudate (basal ganglia)
